lat,lon,label,placename,weeklyactive,totalactive,weeklyrecovered,totalrecovered,weeklydeaths,totaldeaths,weight,timestamp
3.267399,101.842608,Daerah: Hulu Langat<br>No:1<br>Hex coord:(9;0),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.267399,101.869588,Daerah: Hulu Langat<br>No:2<br>Hex coord:(11;0),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.251839,101.842608,Daerah: Hulu Langat<br>No:3<br>Hex coord:(9;1),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.259619,101.856098,Daerah: Hulu Langat<br>No:4<br>Hex coord:(10;1),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.251839,101.869588,Daerah: Hulu Langat<br>No:5<br>Hex coord:(11;1),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.259619,101.883078,Daerah: Hulu Langat<br>No:6<br>Hex coord:(12;1),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.251839,101.896568,Daerah: Hulu Langat<br>No:7<br>Hex coord:(13;1),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.251839,101.923548,Daerah: Hulu Langat<br>No:8<br>Hex coord:(15;1),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.244059,101.829118,Daerah: Hulu Langat<br>No:9<br>Hex coord:(8;2),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.236279,101.842608,Daerah: Hulu Langat<br>No:10<br>Hex coord:(9;2),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.244059,101.856098,Daerah: Hulu Langat<br>No:11<br>Hex coord:(10;2),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.236279,101.869588,Daerah: Hulu Langat<br>No:12<br>Hex coord:(11;2),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.244059,101.883078,Daerah: Hulu Langat<br>No:13<br>Hex coord:(12;2),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.236279,101.896568,Daerah: Hulu Langat<br>No:14<br>Hex coord:(13;2),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.244059,101.910058,Daerah: Hulu Langat<br>No:15<br>Hex coord:(14;2),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.236279,101.923548,Daerah: Hulu Langat<br>No:16<br>Hex coord:(15;2),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.220719,101.815628,Daerah: Hulu Langat<br>No:17<br>Hex coord:(7;3),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.228499,101.829118,Daerah: Hulu Langat<br>No:18<br>Hex coord:(8;3),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.220719,101.842608,Daerah: Hulu Langat<br>No:19<br>Hex coord:(9;3),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.228499,101.856098,Daerah: Hulu Langat<br>No:20<br>Hex coord:(10;3),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.220719,101.869588,Daerah: Hulu Langat<br>No:21<br>Hex coord:(11;3),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.228499,101.883078,Daerah: Hulu Langat<br>No:22<br>Hex coord:(12;3),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.220719,101.896568,Daerah: Hulu Langat<br>No:23<br>Hex coord:(13;3),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.228499,101.910058,Daerah: Hulu Langat<br>No:24<br>Hex coord:(14;3),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.220719,101.923548,Daerah: Hulu Langat<br>No:25<br>Hex coord:(15;3),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.228499,101.937038,Daerah: Hulu Langat<br>No:26<br>Hex coord:(16;3),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.205159,101.815628,Daerah: Hulu Langat<br>No:27<br>Hex coord:(7;4),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.212939,101.829118,Daerah: Hulu Langat<br>No:28<br>Hex coord:(8;4),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.205159,101.842608,Daerah: Hulu Langat<br>No:29<br>Hex coord:(9;4),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.212939,101.856098,Daerah: Hulu Langat<br>No:30<br>Hex coord:(10;4),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.205159,101.869588,Daerah: Hulu Langat<br>No:31<br>Hex coord:(11;4),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.212939,101.883078,Daerah: Hulu Langat<br>No:32<br>Hex coord:(12;4),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.205159,101.896568,Daerah: Hulu Langat<br>No:33<br>Hex coord:(13;4),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.212939,101.910058,Daerah: Hulu Langat<br>No:34<br>Hex coord:(14;4),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.205159,101.923548,Daerah: Hulu Langat<br>No:35<br>Hex coord:(15;4),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.212939,101.937038,Daerah: Hulu Langat<br>No:36<br>Hex coord:(16;4),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.189599,101.815628,Daerah: Hulu Langat<br>No:37<br>Hex coord:(7;5),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.197379,101.829118,Daerah: Hulu Langat<br>No:38<br>Hex coord:(8;5),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.189599,101.842608,Daerah: Hulu Langat<br>No:39<br>Hex coord:(9;5),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.197379,101.856098,Daerah: Hulu Langat<br>No:40<br>Hex coord:(10;5),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.189599,101.869588,Daerah: Hulu Langat<br>No:41<br>Hex coord:(11;5),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.197379,101.883078,Daerah: Hulu Langat<br>No:42<br>Hex coord:(12;5),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.189599,101.896568,Daerah: Hulu Langat<br>No:43<br>Hex coord:(13;5),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.197379,101.910058,Daerah: Hulu Langat<br>No:44<br>Hex coord:(14;5),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.189599,101.923548,Daerah: Hulu Langat<br>No:45<br>Hex coord:(15;5),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.197379,101.937038,Daerah: Hulu Langat<br>No:46<br>Hex coord:(16;5),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.174039,101.815628,Daerah: Hulu Langat<br>No:47<br>Hex coord:(7;6),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.181819,101.829118,Daerah: Hulu Langat<br>No:48<br>Hex coord:(8;6),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.174039,101.842608,Daerah: Hulu Langat<br>No:49<br>Hex coord:(9;6),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.181819,101.856098,Daerah: Hulu Langat<br>No:50<br>Hex coord:(10;6),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.174039,101.869588,Daerah: Hulu Langat<br>No:51<br>Hex coord:(11;6),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.181819,101.883078,Daerah: Hulu Langat<br>No:52<br>Hex coord:(12;6),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.174039,101.896568,Daerah: Hulu Langat<br>No:53<br>Hex coord:(13;6),n/a,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
