lat,lon,label,placename,weeklyactive,totalactive,weeklyrecovered,totalrecovered,weeklydeaths,totaldeaths,weight,timestamp
3.401885,101.457331,Daerah: Selayang<br>No:1<br>Hex coord:(2;0),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.876Z
3.3863250000000003,101.457331,Daerah: Selayang<br>No:2<br>Hex coord:(2;1),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.930Z
3.378545,101.470821,Daerah: Selayang<br>No:3<br>Hex coord:(3;1),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.931Z
3.378545,101.713641,Daerah: Selayang<br>No:4<br>Hex coord:(21;1),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.938Z
3.370765,101.457331,Daerah: Selayang<br>No:5<br>Hex coord:(2;2),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.946Z
3.362985,101.470821,Daerah: Selayang<br>No:6<br>Hex coord:(3;2),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.947Z
3.362985,101.713641,Daerah: Selayang<br>No:7<br>Hex coord:(21;2),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.954Z
3.370765,101.727131,Daerah: Selayang<br>No:8<br>Hex coord:(22;2),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.955Z
3.362985,101.740621,Daerah: Selayang<br>No:9<br>Hex coord:(23;2),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.955Z
3.370765,101.754111,Daerah: Selayang<br>No:10<br>Hex coord:(24;2),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.955Z
3.362985,101.767601,Daerah: Selayang<br>No:11<br>Hex coord:(25;2),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.956Z
3.355205,101.457331,Daerah: Selayang<br>No:12<br>Hex coord:(2;3),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.960Z
3.347425,101.470821,Daerah: Selayang<br>No:13<br>Hex coord:(3;3),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.960Z
3.355205,101.484311,Daerah: Selayang<br>No:14<br>Hex coord:(4;3),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.961Z
3.347425,101.497801,Daerah: Selayang<br>No:15<br>Hex coord:(5;3),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.961Z
3.347425,101.524781,Daerah: Selayang<br>No:16<br>Hex coord:(7;3),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.962Z
3.347425,101.713641,Daerah: Selayang<br>No:17<br>Hex coord:(21;3),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.969Z
3.355205,101.727131,Daerah: Selayang<br>No:18<br>Hex coord:(22;3),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.969Z
3.347425,101.740621,Daerah: Selayang<br>No:19<br>Hex coord:(23;3),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.969Z
3.355205,101.754111,Daerah: Selayang<br>No:20<br>Hex coord:(24;3),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.970Z
3.347425,101.767601,Daerah: Selayang<br>No:21<br>Hex coord:(25;3),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.970Z
3.355205,101.781091,Daerah: Selayang<br>No:22<br>Hex coord:(26;3),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.970Z
3.339645,101.457331,Daerah: Selayang<br>No:23<br>Hex coord:(2;4),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.974Z
3.331865,101.470821,Daerah: Selayang<br>No:24<br>Hex coord:(3;4),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.974Z
3.339645,101.484311,Daerah: Selayang<br>No:25<br>Hex coord:(4;4),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.974Z
3.331865,101.497801,Daerah: Selayang<br>No:26<br>Hex coord:(5;4),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.975Z
3.339645,101.511291,Daerah: Selayang<br>No:27<br>Hex coord:(6;4),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.975Z
3.331865,101.524781,Daerah: Selayang<br>No:28<br>Hex coord:(7;4),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.976Z
3.339645,101.538271,Daerah: Selayang<br>No:29<br>Hex coord:(8;4),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.976Z
3.331865,101.551761,Daerah: Selayang<br>No:30<br>Hex coord:(9;4),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.977Z
3.339645,101.565251,Daerah: Selayang<br>No:31<br>Hex coord:(10;4),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.977Z
3.331865,101.57874100000001,Daerah: Selayang<br>No:32<br>Hex coord:(11;4),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.977Z
3.331865,101.686661,Daerah: Selayang<br>No:33<br>Hex coord:(19;4),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.981Z
3.339645,101.700151,Daerah: Selayang<br>No:34<br>Hex coord:(20;4),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.981Z
3.331865,101.713641,Daerah: Selayang<br>No:35<br>Hex coord:(21;4),n/a,0,0,0,0,0,0,1,2021-09-11T12:46:01.981Z
