lat,lon,label,placename,weeklyactive,totalactive,weeklyrecovered,totalrecovered,weeklydeaths,totaldeaths,weight,timestamp
3.077247,101.590067,Daerah: Subang Jaya<br>No:1<br>Hex coord:(3;0),Jalan SS 15/4. Ss 15. 47500 Subang Jaya. Selangor,122,0,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.061687,101.563087,Daerah: Subang Jaya<br>No:2<br>Hex coord:(1;1),30-4. Jalan Usj Heights 8/1a. Usj Heights. 47500 Subang Jaya. Selangor,56,0,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.069467,101.576577,Daerah: Subang Jaya<br>No:3<br>Hex coord:(2;1),SS 19. 40150 Subang Jaya. Selangor,69,0,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.061687,101.590067,Daerah: Subang Jaya<br>No:4<br>Hex coord:(3;1),UEP Subang Jaya. 47600 Subang Jaya. Selangor,200,0,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.069467,101.603557,Daerah: Subang Jaya<br>No:5<br>Hex coord:(4;1),Bandar Sunway. 47500 Subang Jaya. Selangor,138,0,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.061687,101.617047,Daerah: Subang Jaya<br>No:6<br>Hex coord:(5;1),Jalan Taylors. 47500 Petaling Jaya. Selangor,208,0,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.069467,101.630537,Daerah: Subang Jaya<br>No:7<br>Hex coord:(6;1),46-26. Jalan TK 5/15. Taman Kinrara. 47190 Puchong. Selangor,410,0,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.061687,101.644027,Daerah: Subang Jaya<br>No:8<br>Hex coord:(7;1),Taman Paik Siong. 47180 Puchong. Selangor,241,0,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.046127,101.563087,Daerah: Subang Jaya<br>No:9<br>Hex coord:(1;2),20. Jalan TP 5. Taman Perindustrian Uep. 47600 Subang Jaya. Selangor,59,0,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.053907,101.576577,Daerah: Subang Jaya<br>No:10<br>Hex coord:(2;2),Persiaran Tujuan. 47600 Subang Jaya. Selangor,75,0,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.046127,101.590067,Daerah: Subang Jaya<br>No:11<br>Hex coord:(3;2),Usj 8. 47610 Subang Jaya. Selangor,196,0,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.053907,101.603557,Daerah: Subang Jaya<br>No:12<br>Hex coord:(4;2),Persiaran Subang Mewah. Taman Subang Permai. 47600 Subang Jaya. Selangor,174,0,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.046127,101.617047,Daerah: Subang Jaya<br>No:13<br>Hex coord:(5;2),IOI Mall. Bandar Puchong Jaya. Puchong. Selangor,64,0,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.053907,101.630537,Daerah: Subang Jaya<br>No:14<br>Hex coord:(6;2),Jalan 3/1. Taman Tenaga. 47100 Puchong. Selangor,175,0,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.046127,101.644027,Daerah: Subang Jaya<br>No:15<br>Hex coord:(7;2),Jalan BK 5a/1. Bandar Kinrara 5. 47180 Puchong. Selangor,120,0,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.053907,101.657517,Daerah: Subang Jaya<br>No:16<br>Hex coord:(8;2),Jalan BK 9/5c. Bandar Kinrara 9. 47180 Puchong. Selangor,144,0,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.038347,101.576577,Daerah: Subang Jaya<br>No:17<br>Hex coord:(2;3),5-15. Jalan USJ 12/3. Usj 12. 47630 Subang Jaya. Selangor,128,0,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.030567,101.590067,Daerah: Subang Jaya<br>No:18<br>Hex coord:(3;3),Taman Indah Subang Uep. 47630 Subang Jaya. Selangor,126,0,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.038347,101.603557,Daerah: Subang Jaya<br>No:19<br>Hex coord:(4;3),Lake Residences. 47100 Puchong. Selangor,63,0,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.030567,101.617047,Daerah: Subang Jaya<br>No:20<br>Hex coord:(5;3),Setiawalk. Jalan Wawasan. Pusat Bandar Puchong. 47100 Puchong. Selangor,274,0,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.038347,101.630537,Daerah: Subang Jaya<br>No:21<br>Hex coord:(6;3),Near Sri Kesidang Apartments. Puchong. Selangor,131,0,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.030567,101.644027,Daerah: Subang Jaya<br>No:22<br>Hex coord:(7;3),Near J&T Express Bandar Kinrara. Puchong. Selangor,0,0,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.038347,101.657517,Daerah: Subang Jaya<br>No:23<br>Hex coord:(8;3),44. Jalan BK 6b/11. Bandar Kinrara. 47180 Puchong. Selangor,0,0,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.030567,101.671007,Daerah: Subang Jaya<br>No:24<br>Hex coord:(9;3),Jalan DU 4/1. Taman Damai Utama. 47180 Puchong. Selangor,68,0,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.038347,101.684497,Daerah: Subang Jaya<br>No:25<br>Hex coord:(10;3),15. Jalan PUJ 9/27a. Taman Puncak Jalil. 43300 Seri Kembangan. Selangor,73,0,0,0,0,0,1,2021-09-05T12:11:01.587Z
3.030567,101.697987,Daerah: Subang Jaya<br>No:26<br>Hex coord:(11;3),Jalan 14/2. Taman Serdang Utama. 43300 Seri Kembangan. Selangor,114,0,0,0,0,0,1,2021-09-05T12:11:01.587Z
