lat,lon,label,placename,weeklyactive,totalactive,weeklyrecovered,totalrecovered,weeklydeaths,totaldeaths,weight,timestamp
5.273148,115.317955,Daerah: Labuan<br>No:x<br>Hex coord:(15;7),Pulau Daat,0,0,0,0,0,0,1,2021-09-11T18:21:53.135Z
5.224900,115.130984,Daerah: Labuan<br>No:x<br>Hex coord:(0;0),Kuraman Island,0,0,0,0,0,0,1,2021-09-11T18:21:53.135Z
5.385856,115.242154,Daerah: Labuan<br>No:1<br>Hex coord:(9;0),n/a,0,0,0,0,0,0,1,2021-09-11T18:21:53.006Z
5.370296,115.215174,Daerah: Labuan<br>No:x<br>Hex coord:(7;1),filler,0,0,0,0,0,0,1,2021-09-11T18:21:53.018Z
5.378076,115.228664,Daerah: Labuan<br>No:x<br>Hex coord:(8;1),filler,0,0,0,0,0,0,1,2021-09-11T18:21:53.018Z
5.370296,115.242154,Daerah: Labuan<br>No:2<br>Hex coord:(9;1),n/a,0,0,0,0,0,0,1,2021-09-11T18:21:53.018Z
5.378076,115.255644,Daerah: Labuan<br>No:x<br>Hex coord:(10;1),filler,0,0,0,0,0,0,1,2021-09-11T18:21:53.018Z
5.354736,115.215174,Daerah: Labuan<br>No:3<br>Hex coord:(7;2),n/a,0,0,0,0,0,0,1,2021-09-11T18:21:53.032Z
5.362516,115.228664,Daerah: Labuan<br>No:4<br>Hex coord:(8;2),n/a,0,0,0,0,0,0,1,2021-09-11T18:21:53.032Z
5.354736,115.242154,Daerah: Labuan<br>No:5<br>Hex coord:(9;2),n/a,0,0,0,0,0,0,1,2021-09-11T18:21:53.033Z
5.346956,115.201684,Daerah: Labuan<br>No:6<br>Hex coord:(6;3),n/a,0,0,0,0,0,0,1,2021-09-11T18:21:53.045Z
5.339176,115.215174,Daerah: Labuan<br>No:7<br>Hex coord:(7;3),n/a,0,0,0,0,0,0,1,2021-09-11T18:21:53.046Z
5.346956,115.228664,Daerah: Labuan<br>No:8<br>Hex coord:(8;3),n/a,0,0,0,0,0,0,1,2021-09-11T18:21:53.047Z
5.339176,115.242154,Daerah: Labuan<br>No:9<br>Hex coord:(9;3),n/a,0,0,0,0,0,0,1,2021-09-11T18:21:53.048Z
5.323616,115.188194,Daerah: Labuan<br>No:10<br>Hex coord:(5;4),n/a,0,0,0,0,0,0,1,2021-09-11T18:21:53.061Z
5.331396,115.201684,Daerah: Labuan<br>No:11<br>Hex coord:(6;4),n/a,0,0,0,0,0,0,1,2021-09-11T18:21:53.061Z
5.323616,115.215174,Daerah: Labuan<br>No:12<br>Hex coord:(7;4),n/a,0,0,0,0,0,0,1,2021-09-11T18:21:53.063Z
