lat,lon,label,placename,weeklyactive,totalactive,weeklyrecovered,totalrecovered,weeklydeaths,totaldeaths,weight,timestamp
2.965359,101.670893,Daerah: Sepang<br>No:17<br>Hex coord:(6;3),Putrajaya,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
2.957579,101.684383,Daerah: Sepang<br>No:18<br>Hex coord:(7;3),Putrajaya,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
2.965359,101.697873,Daerah: Sepang<br>No:19<br>Hex coord:(8;3),Putrajaya,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
2.957579,101.711363,Daerah: Sepang<br>No:20<br>Hex coord:(9;3),Putrajaya,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
2.942019,101.684383,Daerah: Sepang<br>No:29<br>Hex coord:(7;4),Putrajaya,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
2.949799,101.697873,Daerah: Sepang<br>No:30<br>Hex coord:(8;4),Putrajaya,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
2.942019,101.711363,Daerah: Sepang<br>No:31<br>Hex coord:(9;4),Putrajaya,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
2.949799,101.724853,Daerah: Sepang<br>No:32<br>Hex coord:(10;4),Putrajaya,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
2.934239,101.670893,Daerah: Sepang<br>No:39<br>Hex coord:(6;5),Half Putrajaya,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
2.926459,101.684383,Daerah: Sepang<br>No:40<br>Hex coord:(7;5),Putrajaya,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
2.934239,101.697873,Daerah: Sepang<br>No:41<br>Hex coord:(8;5),Putrajaya,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
2.926459,101.711363,Daerah: Sepang<br>No:42<br>Hex coord:(9;5),Putrajaya,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
2.934239,101.724853,Daerah: Sepang<br>No:43<br>Hex coord:(10;5),Putrajaya,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
2.918679,101.670893,Daerah: Sepang<br>No:50<br>Hex coord:(6;6),Half Putrajaya,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
2.910899,101.684383,Daerah: Sepang<br>No:51<br>Hex coord:(7;6),Putrajaya,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
2.918679,101.697873,Daerah: Sepang<br>No:52<br>Hex coord:(8;6),Putrajaya,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
2.903119,101.670893,Daerah: Sepang<br>No:61<br>Hex coord:(6;7),Putrajaya,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
2.895339,101.684383,Daerah: Sepang<br>No:62<br>Hex coord:(7;7),Putrajaya,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
2.903119,101.697873,Daerah: Sepang<br>No:63<br>Hex coord:(8;7),Putrajaya,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
2.887559,101.670893,Daerah: Sepang<br>No:72<br>Hex coord:(6;8),Putrajaya,0,1,0,0,0,0,1,2021-09-05T12:11:01.587Z
