lat,lon,label,placename,weeklyactive,totalactive,weeklyrecovered,totalrecovered,weeklydeaths,totaldeaths,weight,timestamp
3.236649,101.65447,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:1<br>Hex coord:(3;0),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.228869,101.64098,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:2<br>Hex coord:(2;1),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.221089,101.65447,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:3<br>Hex coord:(3;1),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.228869,101.66796,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:4<br>Hex coord:(4;1),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.221089,101.68145,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:5<br>Hex coord:(5;1),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.221089,101.73541,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:6<br>Hex coord:(9;1),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.213309,101.64098,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:7<br>Hex coord:(2;2),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.205529,101.65447,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:8<br>Hex coord:(3;2),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.213309,101.66796,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:9<br>Hex coord:(4;2),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.205529,101.68145,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:10<br>Hex coord:(5;2),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.213309,101.69494,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:11<br>Hex coord:(6;2),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.205529,101.70843,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:12<br>Hex coord:(7;2),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.213309,101.72192,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:13<br>Hex coord:(8;2),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.205529,101.73541,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:14<br>Hex coord:(9;2),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.189969,101.62749,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:15<br>Hex coord:(1;3),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.197749,101.64098,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:16<br>Hex coord:(2;3),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.189969,101.65447,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:17<br>Hex coord:(3;3),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.197749,101.66796,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:18<br>Hex coord:(4;3),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.189969,101.68145,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:19<br>Hex coord:(5;3),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.197749,101.69494,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:20<br>Hex coord:(6;3),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.189969,101.70843,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:21<br>Hex coord:(7;3),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.197749,101.72192,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:22<br>Hex coord:(8;3),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.189969,101.73541,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:23<br>Hex coord:(9;3),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.197749,101.7489,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:24<br>Hex coord:(10;3),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.174409,101.62749,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:25<br>Hex coord:(1;4),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.182189,101.64098,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:26<br>Hex coord:(2;4),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.174409,101.65447,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:27<br>Hex coord:(3;4),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.182189,101.66796,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:28<br>Hex coord:(4;4),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.174409,101.68145,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:29<br>Hex coord:(5;4),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.182189,101.69494,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:30<br>Hex coord:(6;4),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.174409,101.70843,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:31<br>Hex coord:(7;4),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
3.182189,101.72192,Daerah: Dewan Bandaraya Kuala Lumpur<br>No:32<br>Hex coord:(8;4),n/a,0,0,0,0,0,0,1,2021-09-09T12:00:00.007Z
