lat,lon,label,placename,weeklyactive,totalactive,weeklyrecovered,totalrecovered,weeklydeaths,totaldeaths,weight,timestamp
5.47512,100.2444945,Daerah: Timur Laut<br>No:Edges<br>Hex coord:(5;0),Ferringhi beach,24,0,0,0,0,0,1,2021-09-09T14:23:12.035Z
5.4829,100.2579845,Daerah: Timur Laut<br>No:Edges<br>Hex coord:(6;0),Moonlight Bay,1,0,0,0,0,0,1,2021-09-09T14:23:12.035Z
5.45956,100.1905345,Daerah: Barat Daya<br>No:1<br>Hex coord:(1;1),n/a,0,0,0,0,0,0,1,2021-09-09T14:23:12.035Z
5.46734,100.2040245,Daerah: Barat Daya<br>No:Edges<br>Hex coord:(2;1),n/a,0,0,0,0,0,0,1,2021-09-09T14:23:12.035Z
5.45956,100.2175145,Daerah: Barat Daya<br>No:2<br>Hex coord:(3;1),Teluk Bahang Beach,41,0,0,0,0,0,1,2021-09-09T14:23:12.038Z
5.46734,100.2310045,Daerah: Barat Daya<br>No:Edges<br>Hex coord:(4;1),Jalan Teluk Bahang,4,0,0,0,0,0,1,2021-09-09T14:23:12.038Z
5.444,100.1905345,Daerah: Barat Daya<br>No:3<br>Hex coord:(1;2),n/a,0,0,0,0,0,0,1,2021-09-09T14:23:12.061Z
5.45178,100.2040245,Daerah: Barat Daya<br>No:4 Hex coord:(2;2),Kampung Tengah,17,0,0,0,0,0,1,2021-09-09T14:23:12.064Z
5.444,100.2175145,Daerah: Barat Daya<br>No:5<br>Hex coord:(3;2),Teluk Bahang Dam,5,0,0,0,0,0,1,2021-09-09T14:23:12.067Z
5.45178,100.2310045,Daerah: Barat Daya<br>No:6 Hex coord:(4;2),n/a,0,0,0,0,0,0,1,2021-09-09T14:23:12.070Z
5.42844,100.1905345,Daerah: Barat Daya<br>No:7<br>Hex coord:(1;3),n/a,0,0,0,0,0,0,1,2021-09-09T14:23:12.090Z
5.43622,100.2040245,Daerah: Barat Daya<br>No:8 Hex coord:(2;3),n/a,0,0,0,0,0,0,1,2021-09-09T14:23:12.091Z
5.42844,100.2175145,Daerah: Barat Daya<br>No:9<br>Hex coord:(3;3),8321 Durian Plantation,0,0,0,0,0,0,1,2021-09-09T14:23:12.093Z
