No,Name,State,Code,Lat,Lon
1,International Islamic University Malaysia (IIUM),Wilayah Persekutuan Kuala Lumpur,14,3.250723064,101.7346695
2,International Islamic University Malaysia (IIUM),Pahang,,,
3,National Defence University of Malaysia,Wilayah Persekutuan Kuala Lumpur,14,3.05067707,101.724758
4,Sultan Idris Education University (UPSI),Perak,,,
5,Universiti Kebangsaan Malaysia (UKM) (Bangi),Selangor,10,2.930683542,101.7775047
6,Universiti Kebangsaan Malaysia (UKM) (Cheras),Wilayah Persekutuan Kuala Lumpur,14,3.099666394,101.7258855
7,Universiti Kebangsaan Malaysia (UKM) (Kuala Lumpur),Wilayah Persekutuan Kuala Lumpur,14,3.169139498,101.701044
8,Universiti Malaysia Kelantan (UMK),Kelantan,,,
9,Universiti Malaysia Kelantan (UMK),Kelantan,,,
10,Universiti Malaysia Pahang (UMP) (Previously known as : Kolej Universiti Kejuruteraan & Teknologi Malaysia (KUKTEM)),Pahang,,,
11,Universiti Malaysia Perlis (UniMAP) (Previously known as : Kolej Universiti Kejuruteraan Utara Malaysia (KUKUM)),Perlis,,,
12,Universiti Malaysia Sabah (UMS),Sabah,,,
13,Universiti Malaysia Sarawak (UNIMAS) (Kota Samarahan),Sarawak,,,
14,Universiti Malaysia Sarawak (UNIMAS) (Kuching),Sarawak,,,
15,Universiti Malaysia Terengganu (UMT) (Previously known as : Kolej Universiti Sains & Teknologi Malaysia (KUSTEM)),Terengganu,,,
16,Universiti Putra Malaysia (UPM),Selangor,10,2.999459282,101.7079175
17,Universiti Sains Islam Malaysia (USIM) (Previously known as : Kolej Universiti Islam Malaysia (KUIM)),Negeri Sembilan,,,
18,Universiti Sains Malaysia (USM) (Health Campus) (Kubang Kerian),Kelantan,,,
19,Universiti Sains Malaysia (USM) (Minden),Penang,,,
20,Universiti Sains Malaysia (USM) (NibongTebal),Penang,,,
21,Universiti Sultan Zainal Abidin (UniSZA) (Previously known as : Universiti Darul Iman Malaysia (UDM)),Terengganu,,,
22,Universiti Sultan Zainal Abidin (UniSZA) (Gong Badak Campus),Terengganu,,,
23,Universiti Sultan Zainal Abidin (UniSZA) (Kampus Tembila),Terengganu,,,
24,Universiti Teknikal Malaysia Melaka (UTeM) (Previously known as : Kolej Universiti Teknikal Kebangsaan Malaysia (KUTKM)),Malacca,,,
25,Universiti Teknologi Malaysia (UTM),Johor,,,
26,Universiti Teknologi MARA (UiTM) Cawangan Johor Kampus Pasir Gudang,Johor,,,
27,Universiti Teknologi MARA (UiTM) Cawangan Johor Kampus Segamat,Johor,,,
28,Universiti Teknologi MARA (UiTM) Cawangan Kedah Kampus Sungai Petani,Kedah,,,
29,Universiti Teknologi MARA (UiTM) Cawangan Kelantan Kampus Kota Bharu,Kelantan,,,
30,Universiti Teknologi MARA (UiTM) Cawangan Kelantan Kampus Machang,Kelantan,,,
31,Universiti Teknologi MARA (UiTM) Cawangan Melaka Kampus Alor Gajah,Malacca,,,
32,Universiti Teknologi MARA (UiTM) Cawangan Melaka Kampus Bandaraya Melaka,Malacca,,,
33,Universiti Teknologi MARA (UiTM) Cawangan Melaka Kampus Jasin,Malacca,,,
34,Universiti Teknologi MARA (UiTM) Cawangan Negeri Sembilan Kampus Kuala Pilah,Negeri Sembilan,,,
35,Universiti Teknologi MARA (UiTM) Cawangan Negeri Sembilan Kampus Rembau,Negeri Sembilan,,,
36,Universiti Teknologi MARA (UiTM) Cawangan Negeri Sembilan Kampus Seremban,Negeri Sembilan,,,
37,Universiti Teknologi MARA (UiTM) Cawangan Pahang Kampus Jengka,Pahang,,,
38,Universiti Teknologi MARA (UiTM) Cawangan Pahang Kampus Kuantan,Pahang,,,
39,Universiti Teknologi MARA (UiTM) Cawangan Pahang Kampus Raub,Pahang,,,
40,Universiti Teknologi MARA (UiTM) Cawangan Perak Kampus Seri Iskandar,Perak,,,
41,Universiti Teknologi MARA (UiTM) Cawangan Perak Kampus Tapah,Perak,,,
42,Universiti Teknologi MARA (UiTM) Cawangan Perlis Kampus Arau,Perlis,,,
43,Universiti Teknologi MARA (UiTM) Cawangan Pulau Pinang Kampus Balik Pulau,Penang,,,
44,Universiti Teknologi MARA (UiTM) Cawangan Pulau Pinang Kampus Bertam,Penang,,,
45,Universiti Teknologi MARA (UiTM) Cawangan Pulau Pinang Kampus Permatang Pauh,Penang,,,
46,Universiti Teknologi MARA (UiTM) Cawangan Sabah Kampus Kota Kinabalu,Sabah,,,
47,Universiti Teknologi MARA (UiTM) Cawangan Sabah Kampus Tawau,Sabah,,,
48,Universiti Teknologi MARA (UiTM) Cawangan Sarawak Kampus Mukah,Sarawak,,,
49,Universiti Teknologi MARA (UiTM) Cawangan Sarawak Kampus Samarahan,Sarawak,,,
50,Universiti Teknologi MARA (UiTM) Cawangan Sarawak Kampus Samarahan 2,Sarawak,,,
51,Universiti Teknologi MARA (UiTM) Cawangan Selangor Kampus Puncak Alam,Selangor,10,3.201295367,101.447978
52,Universiti Teknologi MARA (UiTM) Cawangan Selangor Kampus Puncak Perdana,Selangor,10,3.203738087,101.4480371
53,Universiti Teknologi MARA (UiTM) Cawangan Selangor Kampus Sungai Buloh,Selangor,10,3.220200918,101.5948426
54,Universiti Teknologi MARA (UiTM) Cawangan Terengganu Kampus Dungun,Terengganu,,,
55,Universiti Teknologi MARA (UiTM) Cawangan Terengganu Kampus Kuala Terengganu,Terengganu,,,
56,Universiti Teknologi MARA (UiTM) Shah Alam,Selangor,10,3.069959693,101.5037048
57,Universiti Teknologi MARA Cawangan Johor Kampus Johor Bahru,Johor,,,
58,Universiti Teknologi MARA Cawangan Johor Kampus Larkin,Johor,,,
59,Universiti Teknologi MARA Cawangan Kedah Kampus Alor Setar,Kedah,,,
60,Universiti Teknologi MARA Cawangan Negeri Sembilan Kampus Kuala Pilah (Beting),Negeri Sembilan,,,
61,Universiti Teknologi MARA Cawangan Pahang Kampus Bukit Sekilau,Pahang,,,
62,Universiti Teknologi MARA Cawangan Pulau Pinang Kampus Bukit Mertajam,Penang,,,
63,Universiti Teknologi MARA Cawangan Sarawak Kampus Mukah 2,Sarawak,,,
64,Universiti Teknologi MARA Cawangan Selangor Kampus Dengkil,Selangor,10,2.871297697,101.6669354
65,Universiti Teknologi MARA Cawangan Selangor Kampus Seksyen 17,Selangor,10,3.053142806,101.4989064
66,Universiti Teknologi MARA Cawangan Terengganu Kampus Kuala Terengganu (Cendering),Terengganu,,,
67,Universiti Tun Hussein Onn Malaysia (UTHM) (Previously known as : Kolej Universiti Teknologi Tun Hussein Onn (KUITTHO)),Johor,,,
68,Universiti Tun Hussein Onn Malaysia (UTHM),Johor,,,
69,Universiti Utara Malaysia (UUM),Kedah,,,
70,University of Malaya,Wilayah Persekutuan Kuala Lumpur,14,3.121129569,101.6538414
71,Politeknik Bagan Datuk,Perak,,,
72,Politeknik Balik Pulau,Penang,,,
73,Politeknik Banting Selangor,Selangor,10,2.826114432,101.4637921
74,Politeknik Besut Terengganu,Terengganu,,,
75,Politeknik Hulu Terengganu,Terengganu,,,
76,Politeknik Ibrahim Sultan,Johor,,,
77,Politeknik Jeli Kelantan,Kelantan,,,
78,Politeknik Kota Bharu,Kelantan,,,
79,Politeknik Kota Kinabalu,Sabah,,,
80,Kuala Terengganu Polytechnic,Terengganu,,,
81,Kuching Polytechnic Sarawak,Sarawak,,,
82,Politeknik Melaka,Malacca,,,
83,Politeknik Merlimau Melaka,Malacca,,,
84,Politeknik Mersing Johor,Johor,,,
