No,Name,State,Code,Lat,Lon
1,AIMST University (Previously known as : Asian Institute of Medicine, Science & Technology (AIMST)),Kedah,8,,
2,Albukhary International University,Kedah,8,,
3,Al-Madinah International University (MEDIU),Selangor,10,3.083945817,101.7004876
4,Asia e University,Selangor,10,3.076836932,101.589628
5,Asia Metropolitan University (Previously known as : Asia Metropolitan University, Johor Bahru Branch Campus),Johor,1,,
6,Asia Metropolitan University Cyberjaya Campus (Previously known as : Asia Metropolitan University),Selangor,10,2.920936255,101.6551091
7,Asia Pacific University of Technology and Innovation (Asia Pacific UTI) (Previously known as : Asia Pacific University College of Technology and Innovation (Asia Pacific UCTI)),Wilayah Persekutuan Kuala Lumpur,14,3.055548956,101.70048
8,Asia School of Business (ASB),Wilayah Persekutuan Kuala Lumpur,14,3.155773412,101.6924621
9,Binary University of Management and Entrepreneurship (Previously known as : Binary University College of Management and Entrepreneurship (BUCME)),Selangor,10,3.043625558,101.6194626
10,City University (Previously known as : City University College of Science & Technology (CUCST)),Selangor,10,3.10254286,101.6375372
11,Curtin University, Malaysia (Previously known as : Curtin University, Sarawak Malaysia),Sarawak,13,,
12,DRB-HICOM University of Automotive Malaysia (Previously known as : International College of Automotive),Pahang,6,,
13,GlobalNxt University,Wilayah Persekutuan Kuala Lumpur,14,3.13107328,101.6845174
14,HELP University (Previously known as : HELP University College),Wilayah Persekutuan Kuala Lumpur,14,3.152205113,101.6712307
15,Heriot-Watt University Malaysia,Wilayah Persekutuan Putrajaya,16,2.89937514,101.6725522
16,Infrastructure University Kuala Lumpur (Previously known as : Kuala Lumpur Infrastructure University College (KLIUC)),Selangor,10,2.979322856,101.7398005
17,International Centre for Education in Islamic Finance (INCEIF),Wilayah Persekutuan Kuala Lumpur,14,3.11987246,101.6481364
18,International Medical University (IMU),Wilayah Persekutuan Kuala Lumpur,14,3.06,101.6871784
19,International University of Malaya-Wales (IUMW),Wilayah Persekutuan Kuala Lumpur,14,3.160276061,101.6916722
20,INTI International University (Previously known as : INTI University College),Negeri Sembilan,5,,
