lat,lon,label,placename,weeklyactive,totalactive,weeklyrecovered,totalrecovered,weeklydeaths,totaldeaths,weight,timestamp,lons,delta
5.47512,100.2445834,Daerah: Timur Laut<br>No:x<br>Hex coord:(5;0),Ferringhi beach,30,24,0,0,0,0,1,2021-09-19T12:21:12.035Z,100.2444945,4.44748E-05
5.4829,100.2581179,Daerah: Timur Laut<br>No:x<br>Hex coord:(6;0),Moonlight Bay,2,1,0,0,0,0,1,2021-09-19T12:21:12.035Z,100.25794,4.44748E-05
5.45956,100.1904456,Daerah: Barat Daya<br>No:1<br>Hex coord:(1;1),Penang National Park,0,1,0,0,0,0,1,2021-09-19T12:21:12.035Z,100.1905345,4.44748E-05
5.46734,100.20398,Daerah: Barat Daya<br>No:x<br>Hex coord:(2;1),Jalan Hassan Abas,0,0,0,0,0,0,1,2021-09-19T12:21:12.035Z,100.20398,4.44748E-05
5.45956,100.2175145,Daerah: Barat Daya<br>No:2<br>Hex coord:(3;1),Teluk Bahang Beach,34,41,0,0,0,0,1,2021-09-19T12:21:12.038Z,100.2175145,4.44748E-05
5.46734,100.2310489,Daerah: Barat Daya<br>No:x<br>Hex coord:(4;1),Jalan Teluk Bahang,0,4,0,0,0,0,1,2021-09-19T12:21:12.038Z,100.23096,4.44748E-05
5.444,100.1904456,Daerah: Barat Daya<br>No:3<br>Hex coord:(1;2),Penang National Park,0,0,0,0,0,0,1,2021-09-19T12:21:12.061Z,100.1905345,4.44748E-05
5.45178,100.20398,Daerah: Barat Daya<br>No:4 Hex coord:(2;2),Kampung Tengah,16,17,0,0,0,0,1,2021-09-19T12:21:12.064Z,100.20398,4.44748E-05
5.444,100.2175145,Daerah: Barat Daya<br>No:5<br>Hex coord:(3;2),Teluk Bahang Dam,8,5,0,0,0,0,1,2021-09-19T12:21:12.067Z,100.2175145,4.44748E-05
5.45178,100.2310489,Daerah: Barat Daya<br>No:6 Hex coord:(4;2),n/a,3,0,0,0,0,0,1,2021-09-19T12:21:12.070Z,100.23096,4.44748E-05
5.42844,100.1904456,Daerah: Barat Daya<br>No:7<br>Hex coord:(1;3),Pantai Mas,0,0,0,0,0,0,1,2021-09-19T12:21:12.090Z,100.1905345,4.44748E-05
5.43622,100.20398,Daerah: Barat Daya<br>No:8 Hex coord:(2;3),National Park Penang,1,5,0,0,0,0,1,2021-09-19T12:21:12.091Z,100.20398,4.44748E-05
5.42844,100.2175145,Daerah: Barat Daya<br>No:9<br>Hex coord:(3;3),8321 Durian Plantation,0,0,0,0,0,0,1,2021-09-19T12:21:12.093Z,100.2175145,4.44748E-05
5.43622,100.2310489,Daerah: Barat Daya<br>No:10 Hex coord:(4;3),n/a,1,0,0,0,0,0,1,2021-09-19T12:21:12.094Z,100.23096,4.44748E-05
5.41288,100.1904456,Daerah: Barat Daya<br>No:x Hex coord:(1;4),Pantai Acheh,1,0,0,0,0,0,1,2021-09-19T12:21:12.111Z,100.1905345,4.44748E-05
5.42066,100.20398,Daerah: Barat Daya<br>No:11 Hex coord:(2;4),Unnamed,2,7,0,0,0,0,1,2021-09-19T12:21:12.111Z,100.20398,4.44748E-05
5.41288,100.2175145,Daerah: Barat Daya<br>No:12<br>Hex coord:(3;4),Titi Kerawang,0,0,0,0,0,0,1,2021-09-19T12:21:12.113Z,100.2175145,4.44748E-05
5.42066,100.2310489,Daerah: Barat Daya<br>No:13 Hex coord:(4;4),n/a,0,0,0,0,0,0,1,2021-09-19T12:21:12.114Z,100.23096,4.44748E-05
5.39732,100.1904456,Daerah: Barat Daya<br>No:14<br>Hex coord:(1;5),Kuala Sungai Pinang,9,10,0,0,0,0,1,2021-09-19T12:21:12.129Z,100.1905345,4.44748E-05
5.4051,100.20398,Daerah: Barat Daya<br>No:15 Hex coord:(2;5),Kampung Batu Putih,6,6,0,0,0,0,1,2021-09-19T12:21:12.130Z,100.20398,4.44748E-05
5.39732,100.2175145,Daerah: Barat Daya<br>No:16<br>Hex coord:(3;5),Kampung Sungai Pinang,3,5,0,0,0,0,1,2021-09-19T12:21:12.131Z,100.2175145,4.44748E-05
5.4051,100.2310489,Daerah: Barat Daya<br>No:17 Hex coord:(4;5),n/a,0,0,0,0,0,0,1,2021-09-19T12:21:12.132Z,100.23096,4.44748E-05
5.38176,100.1904456,Daerah: Barat Daya<br>No:18<br>Hex coord:(1;6),Taman Nelayan,22,19,0,0,0,0,1,2021-09-19T12:21:12.140Z,100.1905345,4.44748E-05
5.38954,100.20398,Daerah: Barat Daya<br>No:19 Hex coord:(2;6),Kuala Sungai Pinang,7,7,0,0,0,0,1,2021-09-19T12:21:12.142Z,100.20398,4.44748E-05
5.38176,100.2175145,Daerah: Barat Daya<br>No:20<br>Hex coord:(3;6),Kampung Sungai Rusa,6,4,0,0,0,0,1,2021-09-19T12:21:12.142Z,100.2175145,4.44748E-05
5.38954,100.2310489,Daerah: Barat Daya<br>No:21 Hex coord:(4;6),n/a,0,0,0,0,0,0,1,2021-09-19T12:21:12.143Z,100.23096,4.44748E-05
5.38176,100.2445834,Daerah: Barat Daya<br>No:22<br>Hex coord:(5;6),n/a,0,0,0,0,0,0,1,2021-09-19T12:21:12.144Z,100.2444945,4.44748E-05
5.3662,100.1904456,Daerah: Barat Daya<br>No:23<br>Hex coord:(1;7),Unnamed road. Balik Pulau,0,0,0,0,0,0,1,2021-09-19T12:21:12.151Z,100.1905345,4.44748E-05
5.37398,100.20398,Daerah: Barat Daya<br>No:24 Hex coord:(2;7),Kampung Permatang Pasir,9,12,0,0,0,0,1,2021-09-19T12:21:12.152Z,100.20398,4.44748E-05
5.3662,100.2175145,Daerah: Barat Daya<br>No:25<br>Hex coord:(3;7),Bagan Ayer Itam,22,24,0,0,0,0,1,2021-09-19T12:21:12.153Z,100.2175145,4.44748E-05
5.37398,100.2310489,Daerah: Barat Daya<br>No:26 Hex coord:(4;7),n/a,1,0,0,0,0,0,1,2021-09-19T12:21:12.155Z,100.23096,4.44748E-05
5.3662,100.2445834,Daerah: Barat Daya<br>No:27<br>Hex coord:(5;7),n/a,3,0,0,0,0,0,1,2021-09-19T12:21:12.156Z,100.2444945,4.44748E-05
5.37398,100.2581179,Daerah: Barat Daya<br>No:28 Hex coord:(6;7),n/a,0,0,0,0,0,0,1,2021-09-19T12:21:12.157Z,100.25794,4.44748E-05
5.35064,100.1904456,Daerah: Barat Daya<br>No:29<br>Hex coord:(1;8),Kuala Jalan Baru,0,0,0,0,0,0,1,2021-09-19T12:21:12.164Z,100.1905345,4.44748E-05
5.35842,100.20398,Daerah: Barat Daya<br>No:30 Hex coord:(2;8),Kampung Bagan Air Hitam,14,13,0,0,0,0,1,2021-09-19T12:21:12.165Z,100.20398,4.44748E-05
