lat,lon,label,placename,weeklyactive,totalactive,weeklyrecovered,totalrecovered,weeklydeaths,totaldeaths,weight,timestamp,reserved
5.54244,117.2489055,Daerah: Sabah<br>No:10001<br>Hex coord:(141;123),n/a,0,0,0,0,0,0,1,2021-10-02T08:13:01.2973133Z,0
5.55022,117.2624522,Daerah: Sabah<br>No:10002<br>Hex coord:(142;123),n/a,0,0,0,0,0,0,1,2021-10-02T08:13:02.4270863Z,0
5.54244,117.2759989,Daerah: Sabah<br>No:10003<br>Hex coord:(143;123),n/a,0,0,0,0,0,0,1,2021-10-02T08:13:04.1666871Z,0
5.55022,117.2895456,Daerah: Sabah<br>No:10004<br>Hex coord:(144;123),n/a,0,0,0,0,0,0,1,2021-10-02T08:13:05.9207487Z,0
5.54244,117.3030923,Daerah: Sabah<br>No:10005<br>Hex coord:(145;123),n/a,0,0,0,0,0,0,1,2021-10-02T08:13:07.0454649Z,0
5.55022,117.316639,Daerah: Sabah<br>No:10006<br>Hex coord:(146;123),n/a,0,0,0,0,0,0,1,2021-10-02T08:13:08.7186485Z,0
5.54244,117.3301857,Daerah: Sabah<br>No:10007<br>Hex coord:(147;123),n/a,0,0,0,0,0,0,1,2021-10-02T08:13:11.4468459Z,0
5.55022,117.3437324,Daerah: Sabah<br>No:10008<br>Hex coord:(148;123),n/a,0,0,0,0,0,0,1,2021-10-02T08:13:12.5574682Z,0
5.54244,117.3572791,Daerah: Sabah<br>No:10009<br>Hex coord:(149;123),n/a,0,0,0,0,0,0,1,2021-10-02T08:13:14.2339029Z,0
5.55022,117.3708258,Daerah: Sabah<br>No:10010<br>Hex coord:(150;123),n/a,0,0,0,0,0,0,1,2021-10-02T08:13:15.9962035Z,0
5.54244,117.3843725,Daerah: Sabah<br>No:10011<br>Hex coord:(151;123),n/a,0,0,0,0,0,0,1,2021-10-02T08:13:17.7142554Z,0
5.55022,117.3979192,Daerah: Sabah<br>No:10012<br>Hex coord:(152;123),n/a,0,0,0,0,0,0,1,2021-10-02T08:13:18.3882903Z,0
5.54244,117.4114659,Daerah: Sabah<br>No:10013<br>Hex coord:(153;123),n/a,0,0,0,0,0,0,1,2021-10-02T08:13:19.0499949Z,0
5.55022,117.4250126,Daerah: Sabah<br>No:10014<br>Hex coord:(154;123),n/a,0,0,0,0,0,0,1,2021-10-02T08:13:19.7263582Z,0
5.54244,117.4385593,Daerah: Sabah<br>No:10015<br>Hex coord:(155;123),n/a,0,0,0,0,0,0,1,2021-10-02T08:13:20.3976736Z,0
5.55022,117.452106,Daerah: Sabah<br>No:10016<br>Hex coord:(156;123),n/a,0,0,0,0,0,0,1,2021-10-02T08:13:21.0753767Z,0
