lat,lon,label,placename,weeklyactive,totalactive,weeklyrecovered,totalrecovered,weeklydeaths,totaldeaths,weight,timestamp,reserved
2.70216,113.084189,Daerah: Sarawak<br>No:20001<br>Hex coord:(263;146),n/a,0,0,0,0,0,0,1,2021-10-02T12:27:30.8874215Z,0
2.70994,113.0976707,Daerah: Sarawak<br>No:20002<br>Hex coord:(264;146),n/a,0,0,0,0,0,0,1,2021-10-02T12:27:31.7874163Z,0
2.70216,113.1111524,Daerah: Sarawak<br>No:20003<br>Hex coord:(265;146),n/a,0,0,0,0,0,0,1,2021-10-02T12:27:32.6657557Z,0
2.70994,113.1246341,Daerah: Sarawak<br>No:20004<br>Hex coord:(266;146),n/a,0,0,0,0,0,0,1,2021-10-02T12:27:33.5047559Z,0
2.70216,113.1381159,Daerah: Sarawak<br>No:20005<br>Hex coord:(267;146),n/a,0,0,0,0,0,0,1,2021-10-02T12:27:34.7186903Z,0
2.70994,113.1515976,Daerah: Sarawak<br>No:20006<br>Hex coord:(268;146),n/a,0,0,0,0,0,0,1,2021-10-02T12:27:35.6039954Z,0
2.70216,113.1650793,Daerah: Sarawak<br>No:20007<br>Hex coord:(269;146),n/a,0,0,0,0,0,0,1,2021-10-02T12:27:36.4439324Z,0
2.70994,113.178561,Daerah: Sarawak<br>No:20008<br>Hex coord:(270;146),n/a,0,0,0,0,0,0,1,2021-10-02T12:27:37.3315094Z,0
2.70216,113.1920427,Daerah: Sarawak<br>No:20009<br>Hex coord:(271;146),n/a,0,0,0,0,0,0,1,2021-10-02T12:27:39.0693760Z,0
2.70994,113.2055244,Daerah: Sarawak<br>No:20010<br>Hex coord:(272;146),n/a,0,0,0,0,0,0,1,2021-10-02T12:27:39.9569295Z,0
2.70216,113.2190061,Daerah: Sarawak<br>No:20011<br>Hex coord:(273;146),n/a,0,0,0,0,0,0,1,2021-10-02T12:27:40.8536602Z,0
2.70994,113.2324878,Daerah: Sarawak<br>No:20012<br>Hex coord:(274;146),n/a,0,0,0,0,0,0,1,2021-10-02T12:27:41.8714771Z,0
2.70216,113.2459695,Daerah: Sarawak<br>No:20013<br>Hex coord:(275;146),n/a,0,0,0,0,0,0,1,2021-10-02T12:27:42.7368241Z,0
