lat,lon,label,placename,weeklyactive,totalactive,weeklyrecovered,totalrecovered,weeklydeaths,totaldeaths,weight,timestamp,reserved
3.223441,101.495798,Daerah: Shah Alam<br>No:1<br>Hex coord:(4;0),47000 Merbau Indah. Selangor. Malaysia,31 ,0,0,0,0,0,1,2022-03-28T06:35:13.0037759Z,0
3.215661,101.509288,Daerah: Shah Alam<br>No:2<br>Hex coord:(5;0),Kampung Merbau Sempak. 47000 Shah Alam. Selangor. Malaysia,10 ,0,0,0,0,0,1,2022-03-28T06:35:13.8848265Z,0
3.215661,101.536268,Daerah: Shah Alam<br>No:3<br>Hex coord:(7;0),Kampung Baru Sungai Pelong. 47000 Shah Alam. Selangor. Malaysia,24 ,0,0,0,0,0,1,2022-03-28T06:35:14.8672312Z,0
3.215661,101.563248,Daerah: Shah Alam<br>No:4<br>Hex coord:(9;0),Jalan BRP 4/5. Paya Jaras. 47830 Sungai Buloh. Selangor. Malaysia,139 ,0,0,0,0,0,1,2022-03-28T06:35:15.5931306Z,0
3.207881,101.495798,Daerah: Shah Alam<br>No:5<br>Hex coord:(4;1),Elmina. 47000 Shah Alam. Selangor. Malaysia,42 ,0,0,0,0,0,1,2022-03-28T06:35:17.3206423Z,0
3.200101,101.509288,Daerah: Shah Alam<br>No:6<br>Hex coord:(5;1),Kampung Kubu Gajah. 40160 Shah Alam. Selangor. Malaysia,9 ,0,0,0,0,0,1,2022-03-28T06:35:18.3658865Z,0
3.207881,101.522778,Daerah: Shah Alam<br>No:7<br>Hex coord:(6;1),Taman Paya Jaras Permai. 40160 Shah Alam. Selangor. Malaysia,24 ,0,0,0,0,0,1,2022-03-28T06:35:19.0997353Z,0
3.200101,101.536268,Daerah: Shah Alam<br>No:8<br>Hex coord:(7;1),Paya Jaras. 40160 Shah Alam. Selangor. Malaysia,42 ,0,0,0,0,0,1,2022-03-28T06:35:19.9622175Z,0
3.207881,101.549758,Daerah: Shah Alam<br>No:9<br>Hex coord:(8;1),Paya Jaras. 40160 Shah Alam. Selangor. Malaysia,40 ,0,0,0,0,0,1,2022-03-28T06:35:20.6994256Z,0
3.200101,101.563248,Daerah: Shah Alam<br>No:10<br>Hex coord:(9;1),Sungai Buloh New Village. 47830. Selangor. Malaysia,41 ,0,0,0,0,0,1,2022-03-28T06:35:21.4361185Z,0
3.184541,101.455328,Daerah: Shah Alam<br>No:11<br>Hex coord:(1;2),Kampung Bukit Cherakah. Shah Alam. Selangor. Malaysia,2 ,0,0,0,0,0,1,2022-03-28T06:35:22.1554626Z,0
3.192321,101.468818,Daerah: Shah Alam<br>No:12<br>Hex coord:(2;2),Kuala Selangor. 47000. Selangor. Malaysia,2 ,0,0,0,0,0,1,2022-03-28T06:35:22.8788091Z,0
3.184541,101.482308,Daerah: Shah Alam<br>No:13<br>Hex coord:(3;2),Sungai Buloh. 40160 Shah Alam. Selangor. Malaysia,0,0,0,0,0,0,1,2022-03-28T06:35:23.6389096Z,0
3.192321,101.495798,Daerah: Shah Alam<br>No:14<br>Hex coord:(4;2),Elmina. 40160 Shah Alam. Selangor. Malaysia,7 ,0,0,0,0,0,1,2022-03-28T06:35:25.3883406Z,0
3.184541,101.509288,Daerah: Shah Alam<br>No:15<br>Hex coord:(5;2),Elmina. 40160 Shah Alam. Selangor. Malaysia,6 ,0,0,0,0,0,1,2022-03-28T06:35:27.1103126Z,0
3.192321,101.522778,Daerah: Shah Alam<br>No:16<br>Hex coord:(6;2),Jalan Frekuensi U16/113A. Elmina. 40160 Shah Alam. Selangor. Malaysia,20 ,0,0,0,0,0,1,2022-03-28T06:35:27.8409807Z,0
3.184541,101.536268,Daerah: Shah Alam<br>No:17<br>Hex coord:(7;2),Kompleks Pejabat Kerajaan Daerah Petaling. Persiaran Atmosfera. Elmina. 40160 Shah Alam. Selangor. Malaysia,118 ,0,0,0,0,0,1,2022-03-28T06:35:28.6035804Z,0
3.192321,101.549758,Daerah: Shah Alam<br>No:18<br>Hex coord:(8;2),Paya Jaras Dalam. 40160 Shah Alam. Selangor. Malaysia,32 ,0,0,0,0,0,1,2022-03-28T06:35:29.3459181Z,0
3.184541,101.563248,Daerah: Shah Alam<br>No:19<br>Hex coord:(9;2),Bintang Packaging Industries (M) Sdn Bhd. LOT 2737-A Jalan Industri 12. 47000 Shah Alam. Selangor. Malaysia,26 ,0,0,0,0,0,1,2022-03-28T06:35:30.0703125Z,0
3.192321,101.576738,Daerah: Shah Alam<br>No:20<br>Hex coord:(10;2),Nuan Caf�. Lot 2177 Jalan Baru Sungai Buloh. 40160 Petaling Jaya. Selangor. Malaysia,63 ,0,0,0,0,0,1,2022-03-28T06:35:31.8180205Z,0
3.176761,101.468818,Daerah: Shah Alam<br>No:21<br>Hex coord:(2;3),Persiaran Mokhtar Dahari. Kampung Bukit Cherakah. 41050 KLANG Shah Alam. Selangor. Malaysia,0,0,0,0,0,0,1,2022-03-28T06:35:32.6556899Z,0
3.168981,101.482308,Daerah: Shah Alam<br>No:22<br>Hex coord:(3;3),Subang Kolam Ayer. Shah Alam. Petaling. Malaysia,0,0,0,0,0,0,1,2022-03-28T06:35:34.3813486Z,0
3.176761,101.495798,Daerah: Shah Alam<br>No:23<br>Hex coord:(4;3),Subang Dam. Selangor. Malaysia,0,0,0,0,0,0,1,2022-03-28T06:35:35.1070245Z,0
3.168981,101.509288,Daerah: Shah Alam<br>No:24<br>Hex coord:(5;3),Taman Bukit Subang. 40800 Shah Alam. Selangor. Malaysia,89 ,0,0,0,0,0,1,2022-03-28T06:35:35.8478190Z,0
3.176761,101.522778,Daerah: Shah Alam<br>No:25<br>Hex coord:(6;3),Pangsapuri Melati Blok 12. Blok 12 Jalan Metafasa U16/3. Seksyen U16. 40160 Shah Alam. Selangor. Malaysia,17 ,0,0,0,0,0,1,2022-03-28T06:35:37.5779129Z,0
3.168981,101.536268,Daerah: Shah Alam<br>No:26<br>Hex coord:(7;3),ELM LIGHTING SDN BHD. 16 & 18 & 22 & 24 Jalan Utarid U5/29. 40150 Shah Alam. Selangor. Malaysia,65 ,0,0,0,0,0,1,2022-03-28T06:35:38.3249810Z,0
3.176761,101.549758,Daerah: Shah Alam<br>No:27<br>Hex coord:(8;3),Pangsapuri Damai. 40160 Shah Alam. Selangor. Malaysia,42 ,0,0,0,0,0,1,2022-03-28T06:35:39.0543089Z,0
3.168981,101.563248,Daerah: Shah Alam<br>No:28<br>Hex coord:(9;3),Pasar Raya Borong & Runcit SURIA. 12 Jalan TSB 10. 47810 Petaling Jaya. Selangor. Malaysia,8 ,0,0,0,0,0,1,2022-03-28T06:35:39.8442515Z,0
3.153421,101.482308,Daerah: Shah Alam<br>No:29<br>Hex coord:(3;4),Subang. 40170 Shah Alam. Selangor. Malaysia,9 ,0,0,0,0,0,1,2022-03-28T06:35:40.5859470Z,0
3.161201,101.495798,Daerah: Shah Alam<br>No:30<br>Hex coord:(4;4),Elmina. 40800 Shah Alam. Selangor. Malaysia,0,0,0,0,0,0,1,2022-03-28T06:35:41.3083989Z,0
3.153421,101.509288,Daerah: Shah Alam<br>No:31<br>Hex coord:(5;4),Urban Explorer. 5A Jalan Elektron U16/P. 40160 Shah Alam. Selangor. Malaysia,30 ,0,0,0,0,0,1,2022-03-28T06:35:42.0573175Z,0
3.161201,101.522778,Daerah: Shah Alam<br>No:32<br>Hex coord:(6;4),Persiaran Nukleus. Shah Alam. Selangor. Malaysia,50 ,0,0,0,0,0,1,2022-03-28T06:35:42.7927839Z,0
3.153421,101.536268,Daerah: Shah Alam<br>No:33<br>Hex coord:(7;4),Jalan Jati. Subang. 40800 Shah Alam. Selangor. Malaysia,109 ,0,0,0,0,0,1,2022-03-28T06:35:43.5510180Z,0
3.161201,101.549758,Daerah: Shah Alam<br>No:34<br>Hex coord:(8;4),MyBicycle Shop. No. 7 Jalan Bulan BL U5/BL. Bandar Pinggiran Subang. 40150 Shah Alam. Selangor. Malaysia,44 ,0,0,0,0,0,1,2022-03-28T06:35:44.2910780Z,0
3.137861,101.455328,Daerah: Shah Alam<br>No:35<br>Hex coord:(1;5),Kwangtung Cemetery. Klang. Selangor. Malaysia,67 ,0,0,0,0,0,1,2022-03-28T06:35:45.0358345Z,0
3.145641,101.468818,Daerah: Shah Alam<br>No:36<br>Hex coord:(2;5),Jalan Hamzah. Kampung Budiman. 40710 Shah Alam. Selangor. Malaysia,16 ,0,0,0,0,0,1,2022-03-28T06:35:45.7636750Z,0
3.137861,101.482308,Daerah: Shah Alam<br>No:37<br>Hex coord:(3;5),Basuh Muka. 40710 Shah Alam. Selangor. Malaysia,39 ,0,0,0,0,0,1,2022-03-28T06:35:46.4921596Z,0
