lat,lon,label,placename,weeklyactive,totalactive,weeklyrecovered,totalrecovered,weeklydeaths,totaldeaths,weight,timestamp,reserved
3.201029,101.591229,Daerah: Petaling Jaya<br>No:1<br>Hex coord:(3;0),Jalan Kuala Selangor,39 ,0,0,0,0,0,1,2021-11-01T06:00:11.7644879Z,0
3.201029,101.618209,Daerah: Petaling Jaya<br>No:2<br>Hex coord:(5;0),Sri Damansara,17 ,0,0,0,0,0,1,2021-11-01T06:00:13.0453623Z,0
3.193249,101.577739,Daerah: Shah Alam / PJ <br>No:x1<br>Hex coord:(2;1),(Filled Gap)Kampung Baru Sg Buloh,14 ,0,0,0,0,0,1,2021-11-01T06:00:14.7623924Z,0
3.185469,101.591229,Daerah: Petaling Jaya<br>No:3<br>Hex coord:(3;1),PJU 10,17 ,0,0,0,0,0,1,2021-11-01T06:00:16.0465411Z,0
3.193249,101.604719,Daerah: Petaling Jaya<br>No:4<br>Hex coord:(4;1),Bdr Sri Damansara,27 ,0,0,0,0,0,1,2021-11-01T06:00:17.9427444Z,0
3.185469,101.618209,Daerah: Petaling Jaya<br>No:5<br>Hex coord:(5;1),Sunway SPK,14 ,0,0,0,0,0,1,2021-11-01T06:00:19.8078241Z,0
3.177689,101.577739,Daerah: Petaling Jaya<br>No:6<br>Hex coord:(2;2),PPR Kota Damansara,15 ,0,0,0,0,0,1,2021-11-01T06:00:21.5628299Z,0
3.169909,101.591229,Daerah: Petaling Jaya<br>No:7<br>Hex coord:(3;2),PJU 5. Kota Damansara.,3 ,0,0,0,0,0,1,2021-11-01T06:00:23.9683457Z,0
3.177689,101.604719,Daerah: Petaling Jaya<br>No:8<br>Hex coord:(4;2),The Rafflesia,4 ,0,0,0,0,0,1,2021-11-01T06:00:25.1105333Z,0
3.169909,101.618209,Daerah: KL / Petaling Jaya<br>No:x2<br>Hex coord:(5;2),(Filled Gap)Bukit Lanjan,12 ,0,0,0,0,0,1,2021-11-01T06:00:26.8761184Z,0
3.154349,101.564249,Daerah: Petaling Jaya<br>No:9<br>Hex coord:(1;3),Sunsuria Technology Centre,2 ,0,0,0,0,0,1,2021-11-01T06:00:28.1330787Z,0
3.162129,101.577739,Daerah: Petaling Jaya<br>No:10<br>Hex coord:(2;3),Jalan Cecawi 6/3. Kota Damansara,33 ,0,0,0,0,0,1,2021-11-01T06:00:29.8524945Z,0
3.154349,101.591229,Daerah: Petaling Jaya<br>No:11<br>Hex coord:(3;3),The Strand,20 ,0,0,0,0,0,1,2021-11-01T06:00:31.5871994Z,0
3.162129,101.604719,Daerah: Petaling Jaya<br>No:12<br>Hex coord:(4;3),PJU 7,18 ,0,0,0,0,0,1,2021-11-01T06:00:33.4530973Z,0
3.154349,101.618209,Daerah: KL / Petaling Jaya<br>No:x3<br>Hex coord:(5;3),(Filled Gap) TTDI,10 ,0,0,0,0,0,1,2021-11-01T06:00:35.2201432Z,0
3.138789,101.564249,Daerah: Petaling Jaya<br>No:13<br>Hex coord:(1;4),Selangor Shooting Club,0,0,0,0,0,0,1,2021-11-01T06:00:36.9407423Z,0
3.146569,101.577739,Daerah: Petaling Jaya<br>No:14<br>Hex coord:(2;4),Tropicana Indah,31 ,0,0,0,0,0,1,2021-11-01T06:00:38.6899395Z,0
3.138789,101.591229,Daerah: Petaling Jaya<br>No:15<br>Hex coord:(3;4),PJU 3,2 ,0,0,0,0,0,1,2021-11-01T06:00:41.4310271Z,0
3.146569,101.604719,Daerah: Petaling Jaya<br>No:16<br>Hex coord:(4;4),Sunway Damansara,10 ,0,0,0,0,0,1,2021-11-01T06:00:42.5601802Z,0
3.138789,101.618209,Daerah: Petaling Jaya<br>No:17<br>Hex coord:(5;4),Kayu Ara,12 ,0,0,0,0,0,1,2021-11-01T06:00:44.3245400Z,0
3.131009,101.577739,Daerah: Petaling Jaya<br>No:18<br>Hex coord:(2;5),Tropicana Golf and Country Club,1 ,0,0,0,0,0,1,2021-11-01T06:00:46.1899802Z,0
3.123229,101.591229,Daerah: Petaling Jaya<br>No:19<br>Hex coord:(3;5),PJU 1A,14 ,0,0,0,0,0,1,2021-11-01T06:00:47.3262172Z,0
3.131009,101.604719,Daerah: Petaling Jaya<br>No:20<br>Hex coord:(4;5),Bandar Utama,15 ,0,0,0,0,0,1,2021-11-01T06:00:49.0977009Z,0
3.123229,101.618209,Daerah: Petaling Jaya<br>No:21<br>Hex coord:(5;5),Damansara Jaya,4 ,0,0,0,0,0,1,2021-11-01T06:00:50.2377765Z,0
3.131009,101.631699,Daerah: Petaling Jaya<br>No:22<br>Hex coord:(6;5),Seksyen 17,18 ,0,0,0,0,0,1,2021-11-01T06:00:51.3770752Z,0
3.123229,101.645189,Daerah: Petaling Jaya<br>No:23<br>Hex coord:(7;5),Seksyen 16,16 ,0,0,0,0,0,1,2021-11-01T06:00:52.5152232Z,0
3.115449,101.577739,Daerah: Petaling Jaya<br>No:24<br>Hex coord:(2;6),PJU 1A,7 ,0,0,0,0,0,1,2021-11-01T06:00:54.2854929Z,0
3.107669,101.591229,Daerah: Petaling Jaya<br>No:25<br>Hex coord:(3;6),Kelana Jaya NKVE,29 ,0,0,0,0,0,1,2021-11-01T06:00:56.1068712Z,0
3.115449,101.604719,Daerah: Petaling Jaya<br>No:26<br>Hex coord:(4;6),Taman Mayang,7 ,0,0,0,0,0,1,2021-11-01T06:00:57.8462619Z,0
3.107669,101.618209,Daerah: Petaling Jaya<br>No:27<br>Hex coord:(5;6),Sea Park,22 ,0,0,0,0,0,1,2021-11-01T06:01:00.1108242Z,0
3.115449,101.631699,Daerah: Petaling Jaya<br>No:28<br>Hex coord:(6;6),Seksyen 19,10 ,0,0,0,0,0,1,2021-11-01T06:01:01.8978307Z,0
3.107669,101.645189,Daerah: Petaling Jaya<br>No:29<br>Hex coord:(7;6),Jalan Utara,9 ,0,0,0,0,0,1,2021-11-01T06:01:03.7518130Z,0
3.115449,101.658679,Daerah: KL / Petaling Jaya<br>No:x4<br>Hex coord:(8;6),(Filled Gap) Universiti Malaya,23 ,0,0,0,0,0,1,2021-11-01T06:01:05.4886949Z,0
3.092109,101.591229,Daerah: Subang Jaya / Petaling Jaya<br>No:x5<br>Hex coord:(3;7),(Filled Gap)Park and Ride Glenmarie,2 ,0,0,0,0,0,1,2021-11-01T06:01:06.6138289Z,0
3.099889,101.604719,Daerah: Petaling Jaya<br>No:30<br>Hex coord:(4;7),SS5,36 ,0,0,0,0,0,1,2021-11-01T06:01:07.7588563Z,0
3.092109,101.618209,Daerah: Petaling Jaya<br>No:31<br>Hex coord:(5;7),SS1,22 ,0,0,0,0,0,1,2021-11-01T06:01:09.4952795Z,0
3.099889,101.631699,Daerah: Petaling Jaya<br>No:32<br>Hex coord:(6;7),Seksyen 14,12 ,0,0,0,0,0,1,2021-11-01T06:01:10.6472482Z,0
3.092109,101.645189,Daerah: Petaling Jaya<br>No:33<br>Hex coord:(7;7),Assunta,9 ,0,0,0,0,0,1,2021-11-01T06:01:11.7939136Z,0
3.099889,101.658679,Daerah: Petaling Jaya<br>No:34<br>Hex coord:(8;7),Bukit Gasing,37 ,0,0,0,0,0,1,2021-11-01T06:01:13.5540666Z,0
3.084329,101.604719,Daerah: Petaling Jaya<br>No:35<br>Hex coord:(4;8),Kelab Golf Negara Subang,33 ,0,0,0,0,0,1,2021-11-01T06:01:15.2730469Z,0
3.076549,101.618209,Daerah: Petaling Jaya<br>No:36<br>Hex coord:(5;8),PJS 6,38 ,0,0,0,0,0,1,2021-11-01T06:01:17.0374080Z,0
3.084329,101.631699,Daerah: Petaling Jaya<br>No:37<br>Hex coord:(6;8),Kampung Dato Harun,62 ,0,0,0,0,0,1,2021-11-01T06:01:18.7658624Z,0
3.076549,101.645189,Daerah: Petaling Jaya<br>No:38<br>Hex coord:(7;8),Sri Manja,29 ,0,0,0,0,0,1,2021-11-01T06:01:19.9154238Z,0
3.084329,101.658679,Daerah: Petaling Jaya<br>No:39<br>Hex coord:(8;8),Seksyen 1A,50 ,0,0,0,0,0,1,2021-11-01T06:01:21.7019863Z,0
3.068769,101.604719,Daerah: Subang Jaya / Petaling Jaya<br>No:x6<br>Hex coord:(4;9),(Filled Gap)Bandar Sunway,10 ,0,0,0,0,0,1,2021-11-01T06:01:22.8417944Z,0
3.068769,101.631699,Daerah: Subang Jaya / Petaling Jaya<br>No:x7<br>Hex coord:(6;9),(Filled Gap) Taman Mawar,28 ,0,0,0,0,0,1,2021-11-01T06:01:23.9958007Z,0
