3.2405098,101.6666059,Daerah: SEL/KL<br>No:1672<br>Hex coord:(63;40),Jalan Ipoh. 68100 Kuala Lumpur. Malaysia,52 ,0,0,0,0,0,1,2021-10-26T07:15:23.8468782Z,0
3.2249498,101.639537,Daerah: SEL/KL<br>No:1716<br>Hex coord:(61;41),Petronas. Jalan 2/1A. Batu. 52100 Kuala Lumpur. Kuala Lumpur. Malaysia,38 ,0,0,0,0,0,1,2021-10-26T07:16:14.6029632Z,0
3.2327298,101.6530714,Daerah: SEL/KL<br>No:1717<br>Hex coord:(62;41),52000 Kuala Lumpur. Malaysia,43 ,0,0,0,0,0,1,2021-10-26T07:16:16.7377574Z,0
3.2249498,101.6666059,Daerah: KL<br>No:1718<br>Hex coord:(63;41),Jalan 4/16e. Taman Batu View. Kuala Lumpur. Malaysia,43 ,0,0,0,0,0,1,2021-10-26T07:16:17.8426458Z,0
3.2249498,101.7207438,Daerah: SEL/KL<br>No:1722<br>Hex coord:(67;41),Jalan Taman Cemerlang 1/1. Taman Gombak Setia. Kuala Lumpur. Malaysia,125 ,0,0,0,0,0,1,2021-10-26T07:16:24.7612277Z,0
3.2327298,101.7342783,Daerah: SEL/KL<br>No:1723<br>Hex coord:(68;41),Bukit Tabur West. Desa Melawati. Kuala Lumpur. Malaysia,0,0,0,0,0,0,1,2021-10-26T07:16:26.9696357Z,0
3.2327298,101.7613472,Daerah: SEL/KL<br>No:1725<br>Hex coord:(70;41),Bukit Tabur East. Kuala Lumpur. Malaysia,0,0,0,0,0,0,1,2021-10-26T07:16:29.7460508Z,0
3.2093898,101.639537,Daerah: KL<br>No:1763<br>Hex coord:(61;42),Laman Damai. Taman Kepong Jalan Kuang Bertam 9. Kepong. 52100 Kepong. KL. Malaysia,41 ,0,0,0,0,0,1,2021-10-26T07:17:26.6351984Z,0
3.2171698,101.6530714,Daerah: KL<br>No:1764<br>Hex coord:(62;42),Klinik Kesihatan Jinjang. 2 Jalan Jinjang Setia 3. Kepong. 52000 Kuala Lumpur. Kuala Lumpur. Malaysia,29 ,0,0,0,0,0,1,2021-10-26T07:17:27.7592456Z,0
3.2093898,101.6666059,Daerah: KL<br>No:1765<br>Hex coord:(63;42),Lakeville Residence. 68 Jalan Sibu. Kampong Batu Muda Tambahan. 68100 Kuala Lumpur. Kuala Lumpur. Malaysia,53 ,0,0,0,0,0,1,2021-10-26T07:17:29.4730271Z,0
3.2171698,101.6801404,Daerah: KL<br>No:1766<br>Hex coord:(64;42),Batu. 52000 Kuala Lumpur. Malaysia,27 ,0,0,0,0,0,1,2021-10-26T07:17:32.1934149Z,0
3.2093898,101.6936749,Daerah: KL<br>No:1767<br>Hex coord:(65;42),Jalan Pelangi. Taman Kosmo Jaya. 53000 Kuala Lumpur. Malaysia,44 ,0,0,0,0,0,1,2021-10-26T07:17:33.8822807Z,0
3.2171698,101.7072093,Daerah: SEL/KL<br>No:1768<br>Hex coord:(66;42),Lorong Sungai Mulia 7. Taman Gombak Jaya. 53000 Selayang Municipal Council. Selangor. Malaysia,52 ,0,0,0,0,0,1,2021-10-26T07:17:35.6035582Z,0
3.2093898,101.7207438,Daerah: KL<br>No:1769<br>Hex coord:(67;42),Sekolah Kebangsaan Danau Kota. Jalan 2/23E. Setapak. 53000 Kuala Lumpur. Malaysia,93 ,0,0,0,0,0,1,2021-10-26T07:17:37.2912625Z,0
3.2171698,101.7342783,Daerah: KL<br>No:1770<br>Hex coord:(68;42),Tunku Abdul Rahman Univeristy College. Kuala Lumpur Campus. Jalan Genting Klang. Wangsa Maju. 53300 Kuala Lumpur. Malaysia,30 ,0,0,0,0,0,1,2021-10-26T07:17:38.4169844Z,0
3.2093898,101.7478128,Daerah: SEL/KL<br>No:1771<br>Hex coord:(69;42),LH Car Care Sdn Bhd. Jalan Bandar. Taman Melawati. 53100 Ampang Jaya Municipal Council. Selangor. Malaysia,60 ,0,0,0,0,0,1,2021-10-26T07:17:39.5356445Z,0
