2.9759898,101.6936749,Daerah: Selangor/Putrajaya<br>No:2483<br>Hex coord:(65;57),Persiaran Persekutuan. Precinct 13. 62502 Sepang. Putrajaya. Malaysia,1 ,0,0,0,0,0,1,2021-10-26T07:33:43.4517615Z,0
2.9604298,101.6666059,Daerah: Selangor/Putrajaya<br>No:2531<br>Hex coord:(63;58),SK Putrajaya Presint 11 (3). Jalan P11. Precinct 11. 62300 Putrajaya. Putrajaya. Malaysia,35 ,0,0,0,0,0,1,2021-10-26T07:34:56.3678530Z,0
2.9682098,101.6801404,Daerah: Selangor/Putrajaya<br>No:2532<br>Hex coord:(64;58),Precinct 11. 62300 Putrajaya. Putrajaya. Malaysia,10 ,0,0,0,0,0,1,2021-10-26T07:34:58.0764459Z,0
2.9604298,101.6936749,Daerah: Putrajaya<br>No:2533<br>Hex coord:(65;58),Nature Interpretive Centre. Putrajaya. Sepang. Malaysia,1 ,0,0,0,0,0,1,2021-10-26T07:34:59.7745739Z,0
2.9682098,101.7072093,Daerah: Selangor/Putrajaya<br>No:2534<br>Hex coord:(66;58),IOI Resort City. 62502 Sepang. Selangor. Malaysia,4 ,0,0,0,0,0,1,2021-10-26T07:35:00.8870666Z,0
2.9604298,101.7207438,Daerah: Selangor/Putrajaya<br>No:2535<br>Hex coord:(67;58),Persiaran Utara. IOI Resort City. 62500 Sepang. Selangor. Malaysia,12 ,0,0,0,0,0,1,2021-10-26T07:35:02.5615046Z,0
2.9448698,101.6666059,Daerah: Selangor/Putrajaya<br>No:2581<br>Hex coord:(63;59),Persimpang Persiaran Utara. Putrajaya. Selangor. Malaysia,6 ,0,0,0,0,0,1,2021-10-26T07:36:10.0324260Z,0
2.9526498,101.6801404,Daerah: Putrajaya<br>No:2582<br>Hex coord:(64;59),Precinct 11. 62250 Putrajaya. Putrajaya. Malaysia,17 ,0,0,0,0,0,1,2021-10-26T07:36:11.7300190Z,0
2.9448698,101.6936749,Daerah: Putrajaya<br>No:2583<br>Hex coord:(65;59),散策. Persiaran Sultan Salahuddin Abdul Aziz Shah. Precinct 1. 62675 Putrajaya. Putrajaya. Malaysia,0,0,0,0,0,0,1,2021-10-26T07:36:13.4385168Z,0
2.9526498,101.7072093,Daerah: Putrajaya<br>No:2584<br>Hex coord:(66;59),PLANMalaysia (Jabatan Perancangan Bandar dan Desa). Blok F5 Parcel F. Presint 1. Pusat Pentadbiran Kerajaan Persekutuan. 62675 Putrajaya. Selangor. Malaysia,1 ,0,0,0,0,0,1,2021-10-26T07:36:14.5528308Z,0
