lat,lon,label,placename,weeklyactive,totalactive,weeklyrecovered,totalrecovered,weeklydeaths,totaldeaths,weight,timestamp,reserved
5.273148,115.317955,Daerah: Labuan<br>No:x<br>Hex coord:(15;7),Pulau Daat,0,0,0,0,0,0,1,2022-07-29T18:40:05.3984924Z,0
5.2249,115.130984,Daerah: Labuan<br>No:x<br>Hex coord:(0;0),Kuraman Island,0,0,0,0,0,0,1,2022-07-29T18:40:06.1024437Z,0
5.385856,115.242154,Daerah: Labuan<br>No:1<br>Hex coord:(9;0),87014 Kampung Pohon Batu. Labuan. Malaysia,0,0,0,0,0,0,1,2022-07-29T18:40:06.7941822Z,0
5.393636,115.255644,Daerah: Labuan<br>No:x<br>Hex coord:(10;0),Tanjung Kubong,0,0,0,0,0,0,1,2022-07-29T18:40:07.5892717Z,0
5.370296,115.215174,Daerah: Labuan<br>No:x<br>Hex coord:(7;1),Sungai Pohon Batu. Victoria. Labuan. Malaysia,4,0,0,0,0,0,1,2022-07-29T18:40:08.3702995Z,0
5.378076,115.228664,Daerah: Labuan<br>No:x<br>Hex coord:(8;1),Batu Manikar Beach. Jalan Batu Manikar. 87014 Kampung Pohon Batu. Labuan. Malaysia,0,0,0,0,0,0,1,2022-07-29T18:40:09.1260274Z,0
5.370296,115.242154,Daerah: Labuan<br>No:2<br>Hex coord:(9;1),Jalan Lubok Temiang. 87014 Kampung Pohon Batu. Labuan. Malaysia,6,0,0,0,0,0,1,2022-07-29T18:40:09.8064623Z,0
5.378076,115.255644,Daerah: Labuan<br>No:x<br>Hex coord:(10;1),Kubong Point. 87014 Kampung Pohon Batu. Malaysia,0,0,0,0,0,0,1,2022-07-29T18:40:10.4913888Z,0
5.354736,115.215174,Daerah: Labuan<br>No:3<br>Hex coord:(7;2),Jalan OKK Daud. 87014 Kampung Pohon Batu. Labuan. Malaysia,1,0,0,0,0,0,1,2022-07-29T18:40:11.1933148Z,0
5.362516,115.228664,Daerah: Labuan<br>No:4<br>Hex coord:(8;2),87014 Kampung Pohon Batu. Labuan. Malaysia,18,0,0,0,0,0,1,2022-07-29T18:40:11.8687879Z,0
5.354736,115.242154,Daerah: Labuan<br>No:5<br>Hex coord:(9;2),87000 Kampung Pohon Batu. Labuan. Malaysia,21,0,0,0,0,0,1,2022-07-29T18:40:12.5648091Z,0
5.346956,115.201684,Daerah: Labuan<br>No:6<br>Hex coord:(6;3),Jalan Pancur Hitam. 87000 Labuan. Labuan. Malaysia,0,0,0,0,0,0,1,2022-07-29T18:40:13.2553564Z,0
5.339176,115.215174,Daerah: Labuan<br>No:7<br>Hex coord:(7;3),Jalan Bukit Kuda. Victoria. Labuan. Malaysia,6,0,0,0,0,0,1,2022-07-29T18:40:13.9388570Z,0
5.346956,115.228664,Daerah: Labuan<br>No:8<br>Hex coord:(8;3),87000 Kampung Pohon Batu. Labuan. Malaysia,11,0,0,0,0,0,1,2022-07-29T18:40:14.6187078Z,0
5.339176,115.242154,Daerah: Labuan<br>No:9<br>Hex coord:(9;3),87000 Labuan. Labuan. Malaysia,3,0,0,0,0,0,1,2022-07-29T18:40:15.3898204Z,0
5.323616,115.188194,Daerah: Labuan<br>No:10<br>Hex coord:(5;4),87000 Labuan. Labuan. Malaysia,1,0,0,0,0,0,1,2022-07-29T18:40:16.0704080Z,0
5.331396,115.201684,Daerah: Labuan<br>No:11<br>Hex coord:(6;4),87000 Labuan. Labuan. Malaysia,1,0,0,0,0,0,1,2022-07-29T18:40:16.7574905Z,0
5.323616,115.215174,Daerah: Labuan<br>No:12<br>Hex coord:(7;4),Kampung Patau-Patau II (Water Village). 87000 Labuan. Labuan. Malaysia,0,0,0,0,0,0,1,2022-07-29T18:40:17.4448973Z,0
5.331396,115.228664,Daerah: Labuan<br>No:13<br>Hex coord:(8;4),Kampung Patau-Patau II (Water Village). 87000 Labuan. Labuan. Malaysia,3,0,0,0,0,0,1,2022-07-29T18:40:18.1318104Z,0
5.323616,115.242154,Daerah: Labuan<br>No:14<br>Hex coord:(9;4),Jalan Kerupang Tiga. Kampung Patau-Patau II (Water Village). 87000 Labuan. Labuan. Malaysia,6,0,0,0,0,0,1,2022-07-29T18:40:18.8217360Z,0
5.331396,115.255644,Daerah: Labuan<br>No:14<br>Hex coord:(10;4),Sungai Dollah. Victoria. Labuan. Malaysia,0,0,0,0,0,0,1,2022-07-29T18:40:19.5031887Z,0
